sector,url_sector
Administración de empresas,https://formacion.infojobs.net/estudiar-para-trabajar-administracion-empresas-s-1.htm
Administración Pública,https://formacion.infojobs.net/estudiar-para-trabajar-administracion-publica-s-2.htm
Atención a clientes,https://formacion.infojobs.net/estudiar-para-trabajar-atencion-clientes-s-3.htm
"Calidad, producción e I+D",https://formacion.infojobs.net/estudiar-para-trabajar-calidad-produccion-e-i-d-s-4.htm
Comercial y ventas,https://formacion.infojobs.net/estudiar-para-trabajar-comercial-ventas-s-5.htm
"Compras, logística y almacén",https://formacion.infojobs.net/estudiar-para-trabajar-compras-logistica-almacen-s-6.htm
Diseño y artes gráficas,https://formacion.infojobs.net/estudiar-para-trabajar-diseno-artes-graficas-s-7.htm
Educación y formación,https://formacion.infojobs.net/estudiar-para-trabajar-educacion-formacion-s-8.htm
Finanzas y banca,https://formacion.infojobs.net/estudiar-para-trabajar-finanzas-banca-s-9.htm
Informática y telecomunicaciones,https://formacion.infojobs.net/estudiar-para-trabajar-informatica-telecomunicaciones-s-10.htm
Ingenieros y técnicos,https://formacion.infojobs.net/estudiar-para-trabajar-ingenieros-tecnicos-s-11.htm
Inmobiliario y construcción,https://formacion.infojobs.net/estudiar-para-trabajar-inmobiliario-construccion-s-12.htm
Legal,https://formacion.infojobs.net/estudiar-para-trabajar-legal-s-13.htm
Marketing y comunicación,https://formacion.infojobs.net/estudiar-para-trabajar-marketing-comunicacion-s-14.htm
"Profesiones, artes y oficios",https://formacion.infojobs.net/estudiar-para-trabajar-profesiones-artes-oficios-s-16.htm
Recursos humanos,https://formacion.infojobs.net/estudiar-para-trabajar-recursos-humanos-s-17.htm
Sanidad y salud,https://formacion.infojobs.net/estudiar-para-trabajar-sanidad-salud-s-18.htm
Sector Farmacéutico,https://formacion.infojobs.net/estudiar-para-trabajar-sector-farmaceutico-s-19.htm
Turismo y restauración,https://formacion.infojobs.net/estudiar-para-trabajar-turismo-restauracion-s-20.htm
Ventas al detalle,https://formacion.infojobs.net/estudiar-para-trabajar-ventas-al-detalle-s-21.htm
